,movie_id,movie_name,Action,Action/Adventure,Adventure,Black-and-white,Comedy,Crime Fiction,Drama,Family Film,Horror,Indie,Romance Film,Short Film,Thriller,World cinema
14816,2206376,Son of Frankenstein,0,0,0,1,0,0,0,0,1,0,0,0,0,0
29204,4070802,I Vampiri,0,0,0,1,0,0,0,0,1,0,0,0,0,1
542,16791614,Son of Fury: The Story of Benjamin Blake,1,1,1,1,0,0,1,0,0,0,1,0,0,0
6466,14202380,Lillian Russell,0,0,0,1,0,0,1,0,0,0,0,0,0,0
21650,2456550,Night Monster,0,0,0,1,0,0,0,0,1,0,0,0,1,0
26476,627935,Mark of the Vampire,0,0,0,1,0,0,0,0,1,0,0,0,1,0
244,19496914,Senza pietà,0,0,0,1,0,0,1,0,0,0,0,0,0,0
14696,144640,Another Thin Man,0,0,0,1,1,0,0,0,0,0,0,0,1,0
25415,2990106,Tarzan's New York Adventure,0,0,1,1,0,0,0,0,0,0,0,0,0,0
35423,1564174,The Big Combo,0,0,0,1,0,1,1,0,0,0,0,0,1,0
18344,18698088,The October Man,0,0,0,1,0,0,1,0,0,0,0,0,1,0
10094,19360011,The First Seven Years,0,0,0,1,1,0,0,1,0,0,0,1,0,0
24827,8445116,A Pain in the Pullman,0,0,0,1,1,0,0,0,0,0,0,1,0,0
9841,3955571,Stromboli,0,0,0,1,0,0,1,0,0,0,0,0,0,0
37340,133672,Thunder Road,0,0,0,1,0,1,1,0,0,0,0,0,0,0
3842,23914778,House of the Damned,0,0,0,1,1,0,0,0,1,0,0,0,0,0
18140,16932738,"Khrustalyov, My Car!",0,0,0,1,1,0,1,0,0,0,0,0,0,0
34007,2291894,The Amazing Mr. X,0,0,0,1,0,0,0,0,0,1,0,0,1,0
29306,24336540,Wedding Rehearsal,0,0,0,1,1,0,0,0,0,0,0,0,0,0
38677,5608667,Men O' War,0,0,0,1,1,0,0,0,0,0,0,1,0,0
33123,7870349,Dr. Jekyll and Mr. Hyde,0,0,0,1,0,0,0,0,1,1,0,1,0,0
16017,17161827,The Mating of Millie,0,0,0,1,1,0,0,0,0,0,0,0,0,0
9061,14739336,Don't Throw That Knife,0,0,0,1,1,0,0,0,0,0,0,1,0,0
41034,17021034,True As Steel,0,0,0,1,0,0,1,0,0,0,0,0,0,0
41581,23382222,The Thirteenth Guest,0,0,0,1,0,0,0,0,0,0,0,0,1,0
11492,161866,Days of Wine and Roses,0,0,0,1,0,0,1,0,0,0,1,0,0,0
31268,3213280,Miracle in Milan,0,0,0,1,1,0,1,0,0,0,0,0,0,1
36197,16846937,Something to Shout About,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28184,8166200,Sing a Song of Six Pants,0,0,0,1,1,0,0,0,0,0,0,1,0,0
3649,15814364,The Corn Is Green,0,0,0,1,0,0,1,0,0,0,0,0,0,0
28777,177735,Their Own Desire,0,0,0,1,0,0,1,0,0,0,1,0,0,0
8155,21241505,Rockabye,0,0,0,1,0,0,1,0,0,0,0,0,0,0
37016,5216204,The Bakery Girl of Monceau,0,0,0,1,0,0,1,0,0,0,1,1,0,1
6111,66322,M,0,0,0,1,0,1,1,0,0,0,0,0,1,1
21591,62097,Grand Illusion,0,0,0,1,0,0,1,0,0,0,0,0,0,1
33705,24172914,"Harvest: 3,000 Years",0,0,0,1,0,0,1,0,0,0,0,0,0,0
34892,6627148,Inspiration,0,0,0,1,0,0,1,0,0,1,0,0,0,0
22697,12139936,The Sea Hound,1,0,1,1,0,0,0,0,0,0,0,0,0,0
40349,4070671,Holiday,0,0,0,1,1,0,0,0,0,0,1,0,0,0
33964,905530,Pickup on South Street,0,0,0,1,0,0,1,0,0,0,0,0,1,0
33510,17828345,Abandoned,0,0,0,1,0,0,0,0,0,0,0,0,1,0
16299,9631759,The Law of the Wild,1,1,1,1,0,0,1,1,0,0,0,0,0,0
23710,12633541,Das Spielzeug von Paris,0,0,0,1,0,0,0,0,0,1,0,0,0,0
30955,15372410,Baby Take a Bow,0,0,0,1,0,0,1,1,0,0,0,0,0,0
16936,16846172,Blondie Goes to College,0,0,0,1,1,0,0,0,0,0,0,0,0,0
37242,4983711,The Amazing Dr. Clitterhouse,0,0,0,1,1,1,1,0,0,0,0,0,0,0
20847,7987387,Booty and the Beast,0,0,0,1,1,0,0,0,0,0,0,1,0,0
3302,1172795,The Way of All Flesh,0,0,0,1,0,0,1,0,0,1,0,0,0,0
11410,18978812,M'Liss,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22660,14683064,Idiots Deluxe,0,0,0,1,1,0,0,0,0,0,0,1,0,0
26808,14399937,Bumping into Broadway,0,0,0,1,1,0,0,0,0,1,0,1,0,0
29426,11975716,Adventure in Iraq,0,0,1,1,0,0,0,0,0,0,0,0,0,0
23114,2572864,Don't Bother to Knock,0,0,0,1,0,0,1,0,0,0,0,0,1,0
15510,6308032,Child Bride,0,0,0,1,0,0,1,0,0,0,0,0,0,0
17706,14900698,Espionage Agent,1,0,0,1,0,0,0,0,0,0,0,0,0,0
15669,3654231,L'eclisse,0,0,0,1,0,0,1,0,0,0,0,0,0,1
7956,19361101,Love Business,0,0,0,1,1,0,0,1,0,0,0,1,0,0
3395,3838937,The Ghost of St. Michael's,0,0,0,1,1,0,0,0,0,0,0,0,1,0
27751,76638,Within Our Gates,0,0,0,1,0,0,1,0,0,1,0,0,0,0
38068,17163571,The Mystery of Mr. Wong,0,0,0,1,0,0,1,0,0,0,0,0,1,0
25069,16655899,Sex Hygiene,0,0,0,1,0,0,0,0,0,0,0,1,0,0
39150,22707647,Futari no hitomi,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4035,14013923,Teenage Devil Dolls,0,0,0,1,0,1,0,0,0,0,0,0,0,0
7121,3190591,Bulldog Jack,0,0,0,1,1,1,0,0,0,0,0,0,1,0
3349,3371111,Girl Shy,0,0,0,1,1,0,0,0,0,1,1,0,0,0
7202,927058,The Wolf Man,0,0,0,1,0,0,1,0,1,0,0,0,0,0
24018,3058162,Gulliver Mickey,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36599,12005214,Polly of the Circus,0,0,0,1,0,0,1,0,0,0,0,0,0,0
8209,1682637,Teacher's Pet,0,0,0,1,1,0,0,0,0,0,0,1,0,0
22304,7901159,Easy Money,0,0,0,1,1,1,1,0,0,0,0,0,0,0
14692,16064684,Her Right to Live,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18317,6134853,Zorro's Black Whip,1,1,1,1,0,0,0,0,0,0,0,0,0,0
11939,14711494,Ceiling Zero,0,0,1,1,0,0,1,0,0,0,1,0,1,0
18660,3518352,The Bachelor and the Bobby-Soxer,0,0,0,1,1,0,1,1,0,0,1,0,0,0
23456,30865078,The Crime of Monsieur Lange,0,0,0,1,0,0,1,0,0,0,0,0,0,1
29946,2300433,The Killer That Stalked New York,0,0,0,1,0,1,0,0,0,0,0,0,0,0
33639,10142267,Adam Had Four Sons,0,0,0,1,0,0,1,0,0,0,1,0,0,0
7733,14070912,A Thousand Clouds of Peace,0,0,0,1,0,0,1,0,0,0,1,0,0,1
37043,11396051,L'Atlantide,0,0,0,1,0,0,1,0,0,1,0,0,0,1
19145,113651,Dead Man,1,1,0,1,0,0,1,0,0,1,0,0,0,0
19401,13289619,Mr. Flip,0,0,0,1,1,0,0,0,0,1,0,1,0,0
20076,14615011,After Five,0,0,0,1,1,1,1,0,0,1,0,0,1,0
21252,7309894,Restless Wives,0,0,0,1,0,0,1,0,0,1,0,0,0,0
31681,16908629,Valencia,0,0,0,1,0,0,0,0,0,0,1,0,0,0
16100,14574346,Circus Angel,0,0,0,1,1,0,0,0,0,0,0,0,0,0
16568,9800451,Fires on the Plain,0,0,0,1,0,0,1,0,0,0,0,0,0,1
41311,9337317,Fighting Caravans,1,1,1,1,0,0,0,0,0,0,1,0,0,0
23377,3763636,The Duke is Tops,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37973,1887155,Different From The Others,0,0,0,1,0,0,1,0,0,1,0,0,0,1
31210,23419399,The Arab,0,0,0,1,0,0,1,0,0,0,0,0,0,0
5585,13318485,Lost Boundaries,0,0,0,1,0,0,1,0,0,0,0,0,0,0
38518,5538370,The Sinister Urge,0,0,0,1,0,1,1,0,1,0,0,0,0,0
15511,19746061,Moster fra Mols,0,0,0,1,0,0,0,1,0,0,0,0,0,0
487,10990102,The Left Handed Gun,0,1,0,1,0,0,1,0,0,0,0,0,0,0
26391,2542546,He Who Gets Slapped,0,0,0,1,0,0,1,0,0,1,0,0,0,0
12170,606121,A Day at the Races,0,0,0,1,1,0,0,0,0,0,0,0,0,0
21093,6900622,Madame Bovary,0,0,0,1,0,0,1,0,0,0,1,0,0,0
30098,20719704,Boy! What a Girl!,0,0,0,1,1,0,0,0,0,0,0,0,0,0
33961,20309964,First Love,0,0,0,1,0,0,0,0,0,0,1,0,0,0
9285,142780,The Circus,0,0,1,1,1,0,1,1,0,0,1,0,0,0
3445,14553699,Mr. Lemon of Orange,0,0,0,1,1,1,0,0,0,0,0,0,0,0
12978,1356971,Sabrina,0,0,0,1,1,0,1,0,0,0,1,0,0,0
29196,11457604,Brick Bradford,1,0,1,1,0,0,0,0,0,0,0,0,0,0
20658,14290038,Tillie and Gus,0,0,0,1,1,0,0,0,0,0,0,0,0,0
8518,62117,Mr. Smith Goes to Washington,0,0,0,1,0,0,1,0,0,0,0,0,0,0
34128,560414,The Petrified Forest,0,0,0,1,0,0,1,0,0,0,0,0,1,0
36783,17811609,When Do We Eat?,0,0,0,1,1,0,0,0,0,0,0,0,0,0
34255,10202962,The Royal Mounted Rides Again,1,0,1,1,0,0,0,0,0,0,0,0,0,0
38553,4050489,Odna,0,0,0,1,0,0,1,0,0,0,0,0,0,0
24434,570491,The Gallopin' Gaucho,0,0,0,1,1,0,0,0,0,0,0,1,0,0
25124,858827,Duck and Cover,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1993,10385898,Seven Days to Noon,0,0,0,1,0,0,1,0,0,0,0,0,1,0
5030,24132780,The Girl Said No,0,0,0,1,1,0,0,0,0,0,0,0,0,0
26904,5569839,"Larceny, Inc.",0,0,0,1,1,1,0,0,0,0,0,0,0,0
35144,24252012,The Ace of Hearts,0,0,0,1,0,1,1,0,0,0,1,0,0,0
35853,19312326,Telling Whoppers,0,0,0,1,1,0,0,1,0,0,0,1,0,0
32233,11453602,His Musical Career,0,0,0,1,1,0,0,0,0,1,0,1,0,0
2182,6856411,Four Sons,0,0,0,1,0,0,1,0,0,0,0,0,0,0
26456,8279491,The Purple Monster Strikes,1,0,1,1,0,0,0,0,0,0,0,0,0,0
35967,5668453,Five Graves to Cairo,0,0,1,1,0,0,0,0,0,0,0,0,0,0
18324,15461322,Riders of the Whistling Skull,1,1,0,1,0,0,0,0,0,0,0,0,0,0
39425,14746778,Shot in the Frontier,0,0,0,1,1,0,0,0,0,0,0,1,0,0
22819,19362000,You're Telling Me!,0,0,0,1,1,0,0,0,0,0,0,0,0,0
41736,3585135,Undercurrent,0,0,0,1,0,1,1,0,0,0,1,0,1,0
1853,5019011,The Blot,0,0,0,1,0,0,1,0,0,0,0,0,0,0
23399,4829230,Swiss Family Robinson,1,1,1,1,0,0,1,1,0,0,0,0,0,0
14230,15531185,Penguin Pool Murder,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2222,1056686,Cat People,0,0,0,1,0,0,0,0,1,0,1,0,1,0
22300,5606790,Nothing But Trouble,0,0,0,1,1,0,0,0,0,0,0,0,0,0
29106,20531629,The Real Thing at Last,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4365,4051128,I Was Born But...,0,0,0,1,1,0,1,0,0,1,0,0,0,1
39314,2099075,I Dream Too Much,0,0,0,1,0,0,1,0,0,0,0,0,0,0
24037,19685904,Tiny Troubles,0,0,0,1,1,0,0,1,0,0,0,1,0,0
31436,19398722,Mike Fright,0,0,0,1,1,0,0,1,0,0,0,1,0,0
28495,9880482,The Grim Game,0,0,1,1,0,0,1,0,0,1,0,0,0,0
12481,3027693,The Salvation Hunters,0,0,0,1,0,0,1,0,0,0,0,0,0,0
17261,17516197,The Adventures of Tarzan,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39353,19400227,Beginner's Luck,0,0,0,1,1,0,0,0,0,0,0,1,0,0
16793,14299217,All Aboard,0,0,0,1,1,0,0,0,0,1,0,1,0,0
7383,14620261,Tarzan and the Slave Girl,0,0,1,1,0,0,0,0,0,0,0,0,0,0
38900,2492199,Winter Light,0,0,0,1,0,0,1,0,0,0,0,0,0,1
19595,583273,Limelight,0,0,0,1,1,0,0,0,0,0,0,0,0,0
9575,7884497,Dr. Jekyll and Mr. Hyde,0,0,0,1,0,0,0,0,1,0,0,1,0,0
12791,61483,The Informer,0,0,0,1,0,0,1,0,0,0,0,0,0,0
18853,14693181,Of Human Bondage,0,0,0,1,0,0,1,0,0,0,0,0,0,0
18490,3653768,Le Corbeau,0,0,0,1,0,0,1,0,0,0,0,0,1,1
4261,2380240,Bitters and Blue Ruin,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19500,11256773,Mujhe Jeene Do,0,0,0,1,0,1,1,0,0,0,0,0,0,0
17615,7109992,Jack London,1,1,1,1,0,0,1,0,0,1,0,0,0,0
17836,12401474,Night the World Exploded,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35702,19361200,Little Daddy,0,0,0,1,1,0,0,1,0,0,0,1,0,0
16427,4597981,The Blue Bird,0,0,0,1,0,0,1,0,0,1,0,0,0,0
13240,20003222,The Avenging Conscience,0,0,0,1,0,0,1,0,1,0,0,0,0,0
8882,14232786,Proud Flesh,0,0,0,1,1,0,1,0,0,1,0,0,0,0
28327,12493658,Ukhod Velikovo Startsa,0,0,0,1,0,0,0,0,0,1,0,1,0,0
5988,11551728,Four Walls,0,0,0,1,0,0,1,0,0,1,0,0,0,0
32121,2810604,Gold Diggers of 1933,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7456,23974139,"Oh, Susanna!",0,1,0,1,0,0,0,0,0,0,1,0,0,0
3717,14526240,Higher Than a Kite,0,0,0,1,1,0,0,0,0,0,0,1,0,0
5373,11091446,Tess of the Storm Country,0,0,0,1,0,0,1,0,0,1,0,0,0,0
41657,17877862,Almost an Actress,0,0,0,1,1,0,0,0,0,0,0,1,0,0
23640,865607,The Quatermass Xperiment,0,0,0,1,0,0,0,0,1,0,0,0,1,0
39690,19199909,Periwinkle,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22699,14244443,"Healthy, Wealthy and Dumb",0,0,0,1,1,0,0,0,0,0,0,1,0,0
35120,2685258,Our Hospitality,0,0,0,1,1,0,1,0,0,1,0,0,0,0
32426,16455553,The Blank Generation,0,0,0,1,0,0,1,0,0,1,1,0,0,0
40015,19400692,Our Gang Follies of 1936,0,0,0,1,1,0,0,1,0,0,0,1,0,0
19861,10690363,Caught in a Cabaret,0,0,0,1,1,0,0,0,0,1,0,1,0,0
40308,238846,D.O.A.,0,0,0,1,0,1,1,0,0,0,0,0,1,0
15368,5153086,Hell Below,1,0,1,1,0,0,1,0,0,0,1,0,0,0
1405,6105347,Somewhere in Georgia,0,0,0,1,0,0,1,0,0,1,0,1,0,0
39293,6551508,The Monster Maker,0,0,0,1,0,0,0,0,1,0,0,0,0,0
27684,2887199,Monsieur Beaucaire,0,0,0,1,0,0,1,0,0,1,0,0,0,0
19913,3824690,The Big Broadcast of 1936,0,0,0,1,1,0,0,0,0,0,0,0,0,0
33283,3770679,Framed,0,0,0,1,0,1,1,0,0,0,0,0,1,0
14901,19420955,Bugambilia,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39956,1592906,Way Out West,0,0,0,1,1,0,0,0,0,0,0,0,0,0
35846,4502702,Miss Suwanna of Siam,0,0,0,1,0,0,0,0,0,1,0,0,0,0
23741,23419883,Little Robinson Crusoe,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2096,15149007,Young Sherlocks,0,0,0,1,1,0,0,1,0,1,0,1,0,0
35840,11380132,Summer Interlude,0,0,0,1,0,0,1,0,0,0,0,0,0,0
13915,312498,Yojimbo,1,1,1,1,0,1,1,0,0,0,0,0,1,1
7979,9598213,Mafioso,0,0,0,1,1,1,1,0,0,0,0,0,0,1
21759,5467829,Utterly Alone,0,0,0,1,0,0,1,0,0,0,0,0,0,0
10930,1482867,So Proudly We Hail!,1,1,0,1,0,0,1,0,0,0,0,0,0,0
32587,4566179,Two Cents Worth of Hope,0,0,0,1,1,0,1,0,0,0,1,0,0,1
26961,8379662,Ants in the Pantry,0,0,0,1,1,0,0,0,0,0,0,1,0,0
10639,11785553,Hans Westmar. Einer von vielen. Ein deutsches Schicksal aus dem Jahre 1929,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26677,2471946,Nocturne,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16057,4329971,Waterloo Bridge,0,0,0,1,0,0,1,0,0,0,1,0,0,0
19833,61527,In Old Chicago,0,1,0,1,0,0,1,0,0,0,0,0,0,0
25031,12746952,The Glass Key,0,0,0,1,0,1,1,0,0,0,0,0,1,0
41715,13266463,Mandarin Mix-Up,0,0,0,1,0,0,0,0,0,1,0,1,0,0
37866,7637711,Barney Oldfield's Race for a Life,0,0,0,1,1,0,0,0,0,1,0,1,0,0
37055,6407029,Thank Your Lucky Stars,0,0,0,1,1,0,0,0,0,0,0,0,0,0
38944,5016546,Movie Crazy,0,0,0,1,1,0,0,1,0,0,1,0,0,0
6878,20490737,Go Down Death,0,0,0,1,0,0,1,0,0,0,0,0,0,0
30119,14878446,Wee Willie Winkie,1,1,1,1,0,0,1,1,0,0,0,0,0,0
23207,12954957,The Brave Ones,0,0,0,1,1,0,0,0,0,1,0,1,0,0
19169,7251829,The Amateur Detective,0,0,0,1,1,0,1,0,0,1,0,1,0,0
13586,23809648,Sealed Cargo,1,0,0,1,0,0,1,0,0,0,0,0,0,0
34196,5664795,The Hound of the Baskervilles,0,0,0,1,0,0,1,0,0,0,0,0,1,0
32610,14738953,Three Hams on Rye,0,0,0,1,1,0,0,0,0,0,0,1,0,0
41487,14143833,Black Arrow,0,0,1,1,0,0,0,0,0,0,0,0,0,0
29727,2224471,Night Train to Munich,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3427,77674,Watch on the Rhine,0,0,0,1,0,0,1,0,0,0,0,0,1,0
10970,8215272,Dunked in the Deep,0,0,0,1,1,0,0,0,0,0,0,1,0,0
13737,23995373,Ghost Patrol,0,1,0,1,0,0,0,0,0,0,0,0,0,0
13881,2559713,Rain,0,0,0,1,0,0,1,0,0,0,1,0,0,0
16447,19028582,Hearts Adrift,0,0,0,1,0,0,0,0,0,0,1,1,0,0
23333,9246776,"Edison, the Man",0,0,0,1,0,0,1,0,0,0,0,0,0,0
27591,187091,Detective Story,0,0,0,1,0,1,1,0,0,0,0,0,1,0
35057,2098715,The Big Clock,0,0,0,1,0,1,1,0,0,0,0,0,1,0
18167,10725408,Biraj Bahu,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27377,2562853,Triple Trouble,0,0,0,1,1,0,0,0,0,1,0,1,0,0
37111,19299584,Commencement Day,0,0,0,1,1,0,0,1,0,0,0,1,0,0
7322,19400758,Divot Diggers,0,0,0,1,1,0,0,1,0,0,0,1,0,0
13614,12845913,The Last Frontier,0,1,0,1,0,0,0,0,0,0,0,0,0,0
31852,19400383,Sprucin' Up,0,0,0,1,1,0,0,1,0,0,0,1,0,0
35783,11449217,A Film Johnnie,0,0,0,1,1,0,0,0,0,1,0,1,0,0
38321,2546701,The Count,0,0,0,1,1,0,0,0,0,1,0,1,0,0
21196,667945,Persona,0,0,0,1,0,0,1,0,0,0,0,0,0,1
31336,10394093,Misleading Lady,0,0,0,1,1,0,0,0,0,0,0,0,0,0
9188,2343735,A Lady Without Passport,0,0,0,1,0,1,1,0,0,0,0,0,0,0
34755,4143564,The White Cliffs of Dover,0,0,0,1,0,0,1,0,0,0,1,0,0,0
26277,17985706,Child of Manhattan,0,0,0,1,0,0,1,0,0,0,1,0,0,0
2028,1273494,The Spy in Black,1,0,0,1,0,0,1,0,0,0,0,0,0,0
2909,2060664,Cornered,0,0,0,1,0,0,0,0,0,0,0,0,1,0
19794,13007814,A Successful Calamity,0,0,0,1,1,0,1,0,0,0,0,0,0,0
39913,3933604,Buck Privates,0,0,0,1,1,0,0,0,0,0,0,0,0,0
4288,9897840,The Night of the Iguana,0,0,0,1,0,0,1,0,0,0,1,0,0,0
33376,1763834,Guadalcanal Diary,1,1,0,1,0,0,0,0,0,0,0,0,0,0
31582,11961851,Strange Interlude,0,0,0,1,0,0,1,0,0,0,0,0,0,0
33498,9127971,Port of Call,0,0,0,1,0,0,1,0,0,0,1,0,0,1
38128,2684050,A Canção de Lisboa,0,0,0,1,1,0,0,0,0,0,0,0,0,0
23358,3947300,Cavalcade,0,0,0,1,0,0,1,0,0,0,0,0,0,0
187,9124011,Dayman Ma`ak,0,0,0,1,1,0,0,0,0,0,1,0,0,0
15967,18500449,Edward and Caroline,0,0,0,1,1,0,0,0,0,0,0,0,0,0
14227,2833942,Reach for Glory,0,0,0,1,0,1,1,0,0,0,0,0,0,0
34384,22947127,The Real Glory,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1065,9459581,Trouble Along the Way,0,0,0,1,1,0,1,0,0,0,0,0,0,0
2869,22643612,T' was een April,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24247,8283082,The Invisible Monster,1,0,1,1,0,0,0,0,0,0,0,0,0,0
28628,9201848,The Thundering Herd,0,0,0,1,0,0,0,0,0,1,0,0,0,0
31321,3804955,Gold Diggers of 1935,0,0,0,1,1,0,0,0,0,0,0,0,0,0
35319,3781791,Johnny O'Clock,0,0,0,1,0,1,1,0,0,0,0,0,1,0
19360,14384703,Storm Center,0,0,0,1,0,0,1,0,0,0,0,0,0,0
22326,7333656,Forever,0,0,0,1,0,0,1,0,0,1,1,0,0,0
30252,2061547,City That Never Sleeps,0,0,0,1,0,1,1,0,0,0,0,0,1,0
31426,21624213,That Forward Center Dies at Dawn,0,0,0,1,0,0,1,0,0,0,0,0,0,0
36352,5878470,Mysterious Doctor Satan,1,0,1,1,0,0,0,0,0,0,0,0,0,0
5399,24050247,International Crime,0,0,0,1,0,1,0,0,0,0,0,0,0,0
29687,6450779,Street Angel,0,0,0,1,0,0,1,0,0,0,0,0,0,0
19410,15836095,To the Ends of the Earth,0,0,0,1,0,0,0,0,0,0,0,0,1,0
8461,13273342,Underworld U.S.A.,1,0,0,1,0,1,1,0,0,0,0,0,1,0
4319,385895,Alexander Nevsky,1,0,0,1,0,0,1,0,0,0,0,0,0,1
8413,19744710,Alfalfa's Double,0,0,0,1,1,0,0,1,0,0,0,1,0,0
27897,77647,Wake Island,1,1,0,1,0,0,1,0,0,0,0,0,0,0
4481,6179031,One Girl's Confession,0,0,0,1,0,1,1,0,0,0,0,0,0,0
